epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_f1
1,0.7269029817581176,0.57,0.8036301326751709,0.5,0.3333333333333333
2,0.5947767248153687,0.7,0.7745803737640381,0.5,0.3333333333333333
3,0.44708530163764953,0.794,0.8973451662063598,0.5,0.3333333333333333
4,0.37669957089424133,0.828,0.6898747205734252,0.5,0.3333333333333333
5,0.2833889294862747,0.868,0.30495997905731204,0.85,0.8465473145780051
6,0.27320718264579774,0.89,0.2928907346725464,0.87,0.8689384010484928
7,0.2618078873157501,0.88,0.2909053683280945,0.86,0.8585858585858586
8,0.2409765875339508,0.902,0.5497748172283172,0.75,0.7384663667747673
9,0.2420158929824829,0.906,0.16930899050086737,0.93,0.9299929992999301
10,0.22150256025791168,0.896,0.21995015613734722,0.92,0.919967987194878
11,0.1687511900663376,0.93,0.25625717781484125,0.94,0.9399759903961584
12,0.19894731944799424,0.912,0.15276690132915974,0.94,0.939783219590526
13,0.22398023605346679,0.908,0.15735820301808418,0.94,0.9399759903961584
14,0.1871145256757736,0.926,0.13749533981084824,0.93,0.9298245614035088
15,0.1329302030801773,0.956,0.21260759826749565,0.91,0.9092650468797258
16,0.1943143465220928,0.932,0.44999977596104146,0.89,0.8886526976414617
17,0.15420570516586304,0.94,0.12778715252876283,0.94,0.9399038461538463
18,0.14095199286937712,0.946,0.8609104442596436,0.76,0.7453310696095077
19,0.16839617085456848,0.942,0.13464657068252564,0.96,0.959983993597439
20,0.15570101982355117,0.942,0.1473644518852234,0.93,0.9299929992999301
